timestamp,cell_id,cell_type,slice_type,throughput_mbps,latency_ms,packet_loss_pct,handover_count,rsrp_dbm,rsrq_db,prb_utilization_pct,active_users,sla_compliant
2024-01-01 00:00:00,CELL_001,macro,eMBB,602.02,6.58,0.0258,1,-117.8,-13.17,56.0,47,1
2024-01-01 01:00:00,CELL_001,macro,eMBB,1032.93,8.007,0.3244,3,-88.5,-19.6,49.8,61,1
2024-01-01 02:00:00,CELL_001,macro,eMBB,1024.47,6.901,0.8676,4,-92.1,-9.75,71.2,48,1
2024-01-01 03:00:00,CELL_001,macro,eMBB,1038.38,7.232,1.7728,2,-109.7,-16.81,88.3,59,1
2024-01-01 04:00:00,CELL_001,macro,eMBB,644.32,10.062,0.219,5,-102.0,-13.44,49.9,42,1
2024-01-01 05:00:00,CELL_001,macro,eMBB,624.9,7.952,0.1003,2,-105.2,-18.0,70.2,55,1
2024-01-01 06:00:00,CELL_001,macro,eMBB,1053.16,2.791,0.6574,7,-92.0,-3.84,83.5,63,1
2024-01-01 07:00:00,CELL_001,macro,eMBB,1066.27,8.7,0.3886,4,-98.7,-12.28,89.1,47,1
2024-01-01 08:00:00,CELL_001,macro,eMBB,589.77,10.221,0.02,1,-72.4,-15.46,86.6,42,1
2024-01-01 09:00:00,CELL_001,macro,eMBB,770.66,7.699,0.5387,3,-100.0,-18.47,87.0,46,1
2024-01-01 10:00:00,CELL_001,macro,eMBB,633.94,8.389,0.0937,3,-107.6,-13.12,54.3,37,1
2024-01-01 11:00:00,CELL_001,macro,eMBB,834.47,7.994,1.014,2,-102.6,-11.58,63.4,41,1
2024-01-01 12:00:00,CELL_001,macro,eMBB,737.28,9.196,0.7741,1,-120.0,-4.53,67.2,37,1
2024-01-01 13:00:00,CELL_001,macro,eMBB,545.16,12.894,0.2348,1,-99.0,-5.95,40.0,32,1
2024-01-01 14:00:00,CELL_001,macro,eMBB,735.13,9.018,1.3325,1,-82.4,-13.85,23.0,33,1
2024-01-01 15:00:00,CELL_001,macro,eMBB,555.32,8.179,0.4243,3,-93.4,-16.03,36.6,31,1
2024-01-01 16:00:00,CELL_001,macro,eMBB,904.4,7.77,0.1075,4,-102.0,-19.14,72.0,46,1
2024-01-01 17:00:00,CELL_001,macro,eMBB,450.94,10.112,0.085,3,-77.3,-7.54,73.6,40,1
2024-01-01 18:00:00,CELL_001,macro,eMBB,799.98,10.249,0.2648,4,-92.2,-9.87,48.9,34,1
2024-01-01 19:00:00,CELL_001,macro,eMBB,830.5,7.982,0.7249,2,-105.2,-7.5,64.9,34,1
2024-01-01 20:00:00,CELL_001,macro,eMBB,1054.41,11.343,0.5737,4,-110.8,-8.21,91.5,41,1
2024-01-01 21:00:00,CELL_001,macro,eMBB,735.9,10.832,0.9467,0,-109.8,-16.23,72.3,35,1
2024-01-01 22:00:00,CELL_001,macro,eMBB,744.01,4.514,0.0069,1,-93.9,-13.36,87.1,36,1
2024-01-01 23:00:00,CELL_001,macro,eMBB,491.3,9.623,0.0259,4,-93.8,-11.02,56.8,38,1
2024-01-02 00:00:00,CELL_001,macro,eMBB,618.3,8.676,0.6271,6,-96.7,-10.74,73.4,43,1
2024-01-02 01:00:00,CELL_001,macro,eMBB,642.95,11.367,0.4066,1,-113.7,-10.84,76.2,33,1
2024-01-02 02:00:00,CELL_001,macro,eMBB,870.72,10.585,0.0629,0,-108.7,-5.22,81.2,58,1
2024-01-02 03:00:00,CELL_001,macro,eMBB,892.78,6.103,0.398,3,-94.5,-13.41,69.5,37,1
2024-01-02 04:00:00,CELL_001,macro,eMBB,837.75,8.854,0.3795,5,-70.0,-16.73,60.1,37,1
2024-01-02 05:00:00,CELL_001,macro,eMBB,893.38,9.609,0.5911,6,-110.4,-3.0,54.3,49,1
2024-01-02 06:00:00,CELL_001,macro,eMBB,828.35,6.284,0.4404,1,-77.3,-3.0,81.2,53,1
2024-01-02 07:00:00,CELL_001,macro,eMBB,712.93,12.168,0.1454,6,-95.3,-14.6,100.0,40,1
2024-01-02 08:00:00,CELL_001,macro,eMBB,722.09,8.694,1.2115,0,-100.6,-12.78,93.9,49,1
2024-01-02 09:00:00,CELL_001,macro,eMBB,847.22,12.469,0.3027,3,-103.7,-9.86,64.7,37,1
2024-01-02 10:00:00,CELL_001,macro,eMBB,1014.82,2.108,0.0883,4,-120.0,-18.78,79.8,58,1
2024-01-02 11:00:00,CELL_001,macro,eMBB,943.02,10.496,0.0821,4,-93.0,-13.4,50.6,32,1
